video_id,title,channel,views,likes,comments,published_date,category_id
3cT5ML2l7KQ,VonOff1700 - Seen First (Official Video),VonOff1700,134175,10464,411,2025-10-21T19:00:02Z,10
i36Zw32GfRQ,Reminders of Him | Official Trailer,Universal Pictures,5230773,10188,483,2025-10-21T15:00:23Z,24
9_ofCQ0eOTc,Taco Tuesday Admin Abuse + New BRAINROTS!,CaylusBlox,2008316,32729,992,2025-10-21T23:07:13Z,20
pCv0oP9JLKw,Morgan Wallen - 20 Cigarettes (Official Music Video),MorganWallenVEVO,601989,22640,1864,2025-10-20T18:01:00Z,10
2DuX1l-clGY,Honest Trailers | The Thing,Screen Junkies,174906,12822,1075,2025-10-21T17:00:03Z,1
FZmddh1MuyE,never should've played this again,CoryxKenshin,3733843,318573,16980,2025-10-20T20:50:43Z,20
EV9bpkZD-rk,mgk - no cell phones in rehab,mgk,258928,23107,1782,2025-10-21T16:25:06Z,10
Hzk4ovnGOyw,Troll 2 | Official Trailer | Netflix,Netflix,405189,8076,749,2025-10-21T13:00:04Z,24
sJuv8iRtRek,Steal A Brainrot WANTS ME DEAD..,Foltyn,924965,13540,3635,2025-10-21T18:50:14Z,20
SlP_d8cKoW4,Blo Ft Lil Baby - Kiss & Tell  (prod. By 2havinn),Blo,45359,4777,371,2025-10-21T18:58:47Z,22
jcFd1qbRg_I,"Character Trailer - ""Nefer: Shadowbearing Serpent"" | Genshin Impact #GenshinImpact #Nefer",Genshin Impact,520478,55309,3009,2025-10-21T03:01:00Z,20
qCHmD77VqH0,The Justice System Has Failed Us...,SMii7Y,864856,41934,956,2025-10-21T19:43:00Z,20
xapibmVTQOU,Feelings Koros (feat. Beejoh & Nineden),Gobby YT - Topic,37838,1362,111,2025-10-17T19:20:49Z,10
grjC63MftfI,Marvel Zombies | Official Zombie Mode Trailer | Marvel Rivals,Marvel Rivals,409540,24307,1759,2025-10-20T18:00:42Z,20
97rKhM_i9LU,My Neighbor Is Creepy…,CaseOh,333920,12980,766,2025-10-21T22:00:18Z,20
YcpMVsvK8pk,Madison Beer - bittersweet (Official Music Video),MadisonBeerMusicVEVO,888340,82441,3478,2025-10-21T02:00:06Z,10
hEoS9IGdvr4,Tyler Perry's Finding Joy Trailer #1 (2025),Rotten Tomatoes TV,74030,601,25,2025-10-21T01:03:38Z,1
B5Y7z8PoXkM,Oh it's so much worse..,Asmongold TV  ,604681,22648,2875,2025-10-22T01:30:09Z,20
RGTh1ndYzsA,LE SSERAFIM (르세라핌) 'SPAGHETTI' MV TEASER🍅,HYBE LABELS,437976,52985,2329,2025-10-21T15:00:02Z,10
tybQWjXNeWc,"Spider-Man Brand New Day Hulk First Look, Sadie Sink & Scorpion Breakdown!",Emergency Awesome,205378,5984,606,2025-10-20T21:51:33Z,24
6dchstqW9ZU,i got banned from steal a brainrot..,steak,845218,15035,351,2025-10-21T23:06:56Z,20
pEanOtChKdE,T-Pain - Club Husband (Official Music Video),T Pain,330331,33041,2716,2025-10-20T23:00:07Z,10
vRE6Iobir8k,Ella McCay | Official Trailer | In Theaters December 12,20th Century Studios,72629,1105,64,2025-10-21T16:00:04Z,1
KN60WTfasm4,steal a brainrot admin abuse,KreekCraft,1782526,25718,89,2025-10-21T23:11:22Z,20
GodmYPfMaio,"Ayra Starr, Rema - Who’s Dat Girl (Official Music Video)",AyraStarrVEVO,1004271,61036,5265,2025-10-21T17:00:06Z,10
ZjYbWx8Fs3o,Jurassic World Evolution 3 | Launch Trailer,Jurassic World,142034,9028,511,2025-10-21T14:00:56Z,24
3atmuBhSVws,This was NOT supposed to happen..,Tyler & Snowi,430009,15235,549,2025-10-21T21:42:01Z,20
5GCfYLguTIs,BOYFRIEND(MUSIC VIDEO) KARAN AUJLA| SUNANDA | IKKY | Latest Punjabi Songs 2025,Karan Aujla,4461926,185421,8196,2025-10-21T13:30:06Z,10
Yc6tAWNmzyc,X-MEN 97 Season 2 TRAILER BREAKDOWN! Easter Eggs & Details You Missed!,New Rockstars,117454,4835,134,2025-10-20T19:19:00Z,24
pVK80X-JgWI,"No, I Am Not Human",Markiplier,1474018,82594,3439,2025-10-20T19:31:33Z,20
z7Y1scppIV0,"Jezzy, Arcangel - Que Sensación Remix",Jezzy El Chef,209926,48167,2004,2025-10-21T20:47:42Z,10
OWk4e0oMf-Y,🔴 LIVE! - NEW UPDATE TONIGHT!! FORTNITEMARES in FORTNITE!,Typical Gamer,120436,1659,17,2025-10-22T08:20:38Z,20
NfQb5-NEyr8,"Puscifer - ""Self Evident"" (Official Music Video)",pusciferdotcom,103200,9945,1006,2025-10-21T13:18:20Z,10
7kkF8KS_AiE,Madden 26 Most Feared Packs Are AMAZING!,MMG,188182,6194,267,2025-10-21T22:00:18Z,17
kkj9LsdmAgQ,“Gabriela” with Laufey | KATSEYE,KATSEYE,173179,24057,2779,2025-10-22T01:00:02Z,10
gbZV7nJB-FY,Need To Hit The Mega Bonus Meter To Avoid Disaster!,Vegas Matt,272613,11267,1272,2025-10-21T18:45:08Z,24
Bf85djIscOM,Shakira - Hips Don't Lie ft. Wyclef Jean | Letra En Español,Dual Dance,551216,1171,3,2025-10-20T18:00:13Z,10
